what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1559816173821
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1559816173821
java.version,sysinfo,,,"1.6.0_27",1559816173821
java.vm.info,sysinfo,,,"mixed mode, sharing",1559816173821
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1559816173821
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1559816173821
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1559816173821
java.vm.specification.version,sysinfo,,,"1.0",1559816173821
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1559816173821
java.vm.version,sysinfo,,,"20.2-b06",1559816173821
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1559816174649
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559816175993
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1559816177681
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816177696
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816181852
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1559816184493
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1559816184493
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1559816184587
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1559816184602
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1559816187493
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559816187571
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1559816187634
closed,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1559816187649
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1559816189946
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1559816190259
