what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1558348353964
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348356823
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348361026
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348363276
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348365026
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348386812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348390687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348392937
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348394483
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1558348418709
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348459100
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348462975
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348465100
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348466600
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348498560
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348502607
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348521346
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348526799
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348535190
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348538768
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348541002
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348543190
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348562304
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348574194
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558348582835
