what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1560242660380
java.version,sysinfo,,,"1.6.0_27",1560242660380
java.vm.info,sysinfo,,,"mixed mode, sharing",1560242660380
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1560242660380
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1560242660380
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560242660380
java.vm.specification.version,sysinfo,,,"1.0",1560242660380
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1560242660380
java.vm.version,sysinfo,,,"20.2-b06",1560242660380
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1560242661443
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1560242662568
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1560242666052
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1560242668380
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1560242668458
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1560242669911
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1560242690349
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1560242690349
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1560242690818
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1560242690849
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1560242696771
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1560242696818
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1560242730511
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1560242738823
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1560242738901
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1560242758667
