what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558342021927
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1558342038411
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1558342119098
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1558342120708
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558342120989
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558342123520
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558342158270
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1558342158302
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558342165723
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558342166630
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558342232239
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1558342242739
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1558342243614
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1558342266723
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1558342267458
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1558342272802
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1558342275223
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1558342276427
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1558342281130
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1558342285802
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558342286083
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558342288677
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1558342292942
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1558342304817
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1558342306552
