what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817064175
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817065347
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817107539
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.showInformation",1559817107555
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817109320
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817113070
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817124244
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1559817134322
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1559817137885
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817144166
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817145103
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817162999
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817164843
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817218124
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817219202
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559817245196
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817278087
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817281681
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1559817291217
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559817291357
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559817291420
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817295170
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559817296451
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559817304750
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559817327397
