what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1558948827007
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558948870945
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558948872351
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558948913142
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558948914220
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1558948980635
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1558948982588
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558949035152
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558949036699
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1558949072853
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1558949079947
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1558949079979
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1558949081168
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1558949082121
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1558949082934
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1558949086449
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558949092277
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558949095027
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558949192078
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558949278653
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1558949280091
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1558949281435
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1558949282669
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558949329575
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558949330794
