what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1559816190306
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816198264
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816248498
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559816250342
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1559816253170
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559816254670
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559816254764
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559816286654
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559816291764
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816292467
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816295060
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559816320639
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559816320701
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559816363514
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816375060
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816375795
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559816378842
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816408389
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816454127
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1559816459299
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816461392
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816464174
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816466861
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816494142
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559816496924
