what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946776798
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947019765
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947043521
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947082350
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947088848
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947092310
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1558947103641
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1558947105777
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947144884
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947234012
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947260274
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947267955
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1558947271964
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947317559
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947331377
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947376099
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947434161
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1558947437365
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947438177
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947476536
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947504349
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947546611
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947573533
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947587345
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558947597236
