what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946056748
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946082717
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1558946091217
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1558946091467
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1558946110311
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1558946115233
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946126451
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946129889
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946132780
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946150733
failed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1558946150748
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1558946158014
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946407451
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946666217
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1558946678706
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1558946679662
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1558946683745
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1558946685464
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1558946686478
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946696185
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946712558
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946713326
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946749784
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946758142
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558946770952
