what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558950584064
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558950633657
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558950684032
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558950685017
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558950710351
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558950719648
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1558950724648
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1558950796835
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558950796866
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558950798866
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558950800382
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558950801194
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1558950843397
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558950990428
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558950991475
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558951014903
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558951015857
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558951083205
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558951152511
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558951156770
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558951167144
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558951169578
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558951200317
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558951204192
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1558951274521
